id,milestone,workstream,db_catalog,status,owner,grammar,ast,parser,semantic,tests,summary
M1-1,Milestone1,ConformanceMatrix,No,closed,parser-core,meta_tracking,docs/conformance_matrix.csv,N/A,N/A,tests/conformance_matrix_tests.rs::conformance_matrix_rows_are_well_formed,Feature matrix maps each gap to implementation and tests
M1-2,Milestone1,ConformanceStatusOutput,No,closed,parser-core,meta_tracking,docs/conformance_status.md,scripts/generate_conformance_status.sh,N/A,tests/conformance_matrix_tests.rs::generated_status_lists_every_row,Generated status report classifies every tracked row
M1-3,Milestone1,OwnershipTraceability,No,closed,parser-core,meta_tracking,docs/conformance_matrix.csv,N/A,N/A,tests/conformance_matrix_tests.rs::every_matrix_row_has_owner_and_traceability,Every row has explicit owner and test traceability
M3-5-1,Milestone3,GraphTypeModeling,No,closed,parser-core,elementTypeSpecification;nodeTypeSpecification,src/ast/graph_type.rs,src/parser/graph_type.rs,N/A,tests/graph_type_tests.rs::test_graph_type_parser_supports_abstract_inheritance_and_constraints,ABSTRACT type grammar forms implemented
M3-5-2,Milestone3,GraphTypeModeling,No,closed,parser-core,elementTypeSpecification;nodeTypeSpecification;edgeTypeSpecification,src/ast/graph_type.rs,src/parser/graph_type.rs,N/A,tests/graph_type_tests.rs::test_graph_type_parser_supports_abstract_inheritance_and_constraints|tests/graph_type_tests.rs::test_graph_type_parser_supports_edge_constraints_and_inheritance,Inheritance grammar forms implemented for node and edge types
M3-5-3,Milestone3,GraphTypeModeling,No,closed,parser-core,nodeTypeFiller;edgeTypeFiller,src/ast/graph_type.rs,src/parser/graph_type.rs,N/A,tests/graph_type_tests.rs::test_graph_type_parser_supports_abstract_inheritance_and_constraints|tests/graph_type_tests.rs::test_graph_type_parser_supports_edge_constraints_and_inheritance,Constraint grammar forms implemented for graph type elements
M3-5-4,Milestone3,GraphTypeModeling,No,closed,parser-core,createGraphTypeStatement;graphTypeSource,src/ast/catalog.rs;src/ast/graph_type.rs,src/parser/program.rs;src/parser/graph_type.rs,N/A,tests/graph_type_tests.rs::test_graph_type_parser_supports_abstract_inheritance_and_constraints,GraphTypeSource detailed payload embeds full nested graph model
M3-4-1,Milestone3,SchemaSemantics,Yes,open,schema-integration,schemaModelExpansion,src/semantic/schema.rs,N/A,src/semantic/validator/schema_validation.rs,tests/semantic_validator_tests.rs::test_valid_query_no_errors,Blocked on DB catalog schema metadata ingestion
M3-4-2,Milestone3,SchemaSemantics,Yes,open,schema-integration,schemaAwareContextPropagation,src/semantic/schema.rs,src/semantic/validator/scope_analysis.rs,src/semantic/validator/type_inference.rs,tests/semantic_validator_scope_and_agg_tests.rs::test_group_by_no_aggregation,Blocked on DB catalog derived label and type context
M3-4-3,Milestone3,SchemaSemantics,Yes,open,schema-integration,schemaConstraintChecks,src/semantic/schema.rs,src/semantic/validator/schema_validation.rs,src/semantic/validator/type_checking.rs,tests/semantic_validator_tests.rs::test_unknown_property_validation,Blocked on DB catalog property and constraint metadata
M3-4-4,Milestone3,SchemaSemantics,Yes,open,schema-integration,schemaFixtureCoverage,src/semantic/schema.rs,N/A,src/semantic/validator/schema_validation.rs,tests/semantic_validator_tests.rs::test_unknown_label_validation,Blocked on representative external schema fixtures
M4-6-1-1,Milestone4,PatternHardening,No,closed,parser-core,pathPatternExpression;graphPatternQuantifier,src/ast/query.rs,src/parser/patterns/path.rs,N/A,tests/pattern_tests.rs::parse_deeply_nested_quantifiers_on_parenthesized_patterns,Deep nested quantifier parsing edge cases closed
M4-6-1-2,Milestone4,PatternHardening,No,closed,parser-core,pathPatternExpression;simplifiedPathPatternExpression,src/ast/query.rs,src/parser/patterns/path.rs,N/A,tests/pattern_tests.rs::parse_path_expression_mixed_union_and_multiset_alternation_has_stable_precedence|tests/pattern_tests.rs::parse_simplified_mixed_union_and_multiset_alternation_has_stable_precedence,Union and alternation precedence and associativity gaps closed
M4-6-1-3,Milestone4,PatternHardening,No,closed,parser-core,pathPatternExpression;simplifiedPathPatternExpression,src/ast/query.rs,src/parser/patterns/path.rs,N/A,tests/stress_tests.rs::deeply_nested_parenthesized_quantifiers_stress|tests/stress_tests.rs::mixed_union_multiset_alternation_stress,Stress and regression coverage added for hardened path parsing
M4-6-2-1,Milestone4,FunctionCompleteness,No,closed,parser-core,functionNameInventory,src/ast/expression.rs,src/parser/expression.rs,N/A,src/parser/expression.rs::parses_specialized_string_and_list_functions|src/parser/expression.rs::parses_temporal_functions|tests/case_insensitive_tests.rs::built_in_function_keywords_case_insensitive,Specialized string datetime and list variants aligned in parser and keyword inventory
M4-6-2-2,Milestone4,FunctionCompleteness,Partial,open,semantic-core,functionSignatureValidation,src/ast/expression.rs,src/semantic/validator/expression_validation.rs,src/semantic/validator/type_checking.rs,tests/semantic_validator_tests.rs::test_expression_validation_function_call,Blocked for UDF and procedure signatures from DB catalog
M5-7-1-1,Milestone5,RecoveryPolish,No,closed,parser-core,parserRecoverySyncSets,N/A,src/parser/program.rs;src/parser/patterns/mod.rs,N/A,src/parser/program.rs::synchronize_top_level_resumes_at_statement_start|src/parser/program.rs::synchronize_top_level_skips_semicolon_run,Synchronization sets standardized by parser context
M5-7-1-2,Milestone5,RecoveryPolish,No,closed,parser-core,parserRecoveryDiagnostics,N/A,src/parser/program.rs;src/parser/patterns/path.rs,N/A,src/parser/program.rs::append_diags_dedup_suppresses_adjacent_duplicate_diagnostics|tests/pattern_tests.rs::parse_reports_single_chained_quantifier_diagnostic,Cascading diagnostics reduced in malformed regions
M5-7-1-3,Milestone5,RecoveryPolish,No,closed,parser-core,parserRecoveryInvariants,N/A,src/parser/mod.rs;src/parser/program.rs,N/A,src/parser/mod.rs::parser_never_panics_on_random_inputs|src/parser/program.rs::parse_recovers_after_invalid_top_level_token,Explicit recovery invariants and guard tests in place
M5-7-2-1,Milestone5,NestedQuantifierRobustness,No,closed,parser-core,graphPatternQuantifier,src/ast/query.rs,src/parser/patterns/path.rs,N/A,tests/stress_tests.rs::quantifier_rollback_ambiguity_fuzz_regression|tests/stress_tests.rs::deeply_nested_parenthesized_quantifiers_stress,Fuzz and stress coverage expanded and rollback ambiguity paths removed
M5-7-3-1,Milestone5,TypeInferenceQuality,Partial,open,semantic-core,typeInferencePrecision,src/ir/type_table.rs,src/semantic/validator/type_inference.rs,src/semantic/validator/type_checking.rs,tests/semantic_validator_tests.rs::test_expression_validation_valid_simple_expression,Blocked on schema property type metadata
M5-7-3-2,Milestone5,TypeInferenceQuality,Partial,open,semantic-core,typeInferenceCallableReturns,src/ir/type_table.rs,src/semantic/validator/type_inference.rs,src/semantic/validator/expression_validation.rs,tests/semantic_validator_tests.rs::test_expression_validation_function_call,Blocked on external callable signatures and return metadata
M5-7-3-3,Milestone5,TypeInferenceQuality,Partial,open,semantic-core,typeInferenceIntegration,src/ir/type_table.rs,src/semantic/validator/type_checking.rs,src/semantic/validator/type_inference.rs,tests/semantic_validator_tests.rs::test_aggregation_multiple_functions,Blocked on schema-precise downstream type metadata
